ISO3,t,x,y,z,dx,dy,dz
GRD,1994,0.3320650798902362,0.07418796099877392,3.498614046862949,0.0018672351741543802,0.001206449149135938,0.019145128995792238
GRD,1995,0.3339323150643906,0.07539441014790986,3.517759175858741,0.0017132346386669606,0.0014556028043394564,0.02733683419065036
GRD,1996,0.33564554970305754,0.07685001295224932,3.5450960100493916,0.0006164691841053505,0.0015479134621437796,0.02600166235074619
GRD,1997,0.3362620188871629,0.0783979264143931,3.5710976724001378,-0.000581267713454181,0.001726638177459064,0.0528005612696969
GRD,1998,0.3356807511737087,0.08012456459185216,3.6238982336698347,-0.0017332095736334319,0.0018346344304285972,0.030882945417934238
GRD,1999,0.3339475416000753,0.08195919902228076,3.654781179087769,-0.002871003555175944,0.0019468933911516856,0.030048758637261752
GRD,2000,0.33107653804489934,0.08390609241343244,3.6848299377250306,-0.0038584483010719595,0.002007205922652397,-0.001827253218978253
GRD,2001,0.3272180897438274,0.08591329833608484,3.6830026845060524,-0.011507449557429938,0.0014420032653057607,0.014616655609166251
GRD,2002,0.31571064018639744,0.0873553016013906,3.6976193401152186,-0.011761370492969825,0.0013859204541439574,0.03701760033919088
GRD,2003,0.3039492696934276,0.08874122205553456,3.7346369404544095,-0.011487188403045911,0.001356381390371142,0.004164315948340658
GRD,2004,0.2924620812903817,0.0900976034459057,3.73880125640275,-0.010931906908933642,0.0012472335850447352,0.06318935706803419
GRD,2005,0.28153017438144806,0.09134483703095043,3.8019906134707844,-0.00999777914408917,0.0011882949786185398,0.0003751880249107664
GRD,2006,0.2715323952373589,0.09253313200956897,3.802365801495695,-0.008856785702327674,0.000922863639846408,0.034246155284336055
GRD,2007,0.2626756095350312,0.09345599564941538,3.836611956780031,-0.0076468414590147304,0.000850905979119701,0.03543960957951109
GRD,2008,0.2550287680760165,0.09430690162853508,3.8720515663595423,-0.006628980537417867,0.0007335650663397308,-0.031157633544010466
GRD,2009,0.24839978753859862,0.09504046669487481,3.840893932815532,-0.005769951499506459,0.0007963441891858936,-0.0014409196258449164
GRD,2010,0.24262983603909216,0.09583681088406071,3.839453013189687,-0.005138449554032615,0.0010372662393385579,0.0023681259656642695
GRD,2011,0.23749138648505955,0.09687407712339927,3.841821139155351,-0.0027629249808119594,0.0005239569467870436,0.008991667406184956
GRD,2012,0.2347284615042476,0.09739803407018631,3.850812806561536,-0.002835308252351648,0.0006449945507410737,0.01987207728167606
GRD,2013,0.23189315325189594,0.09804302862092738,3.870684883843212,-0.002878747067778048,0.0009467816390866246,0.03166259674467087
GRD,2014,0.2290144061841179,0.09898981026001401,3.902347480587883,-0.003412909981431428,0.0010600048995255823,0.03687836842097969
GRD,2015,0.22560149620268646,0.10004981515953959,3.9392258490088627,-0.0038819998179618898,0.0012388065112310942,0.02556322267911515
GRD,2016,0.22171949638472457,0.10128862167077068,3.964789071687978,-0.002082104876803992,0.0014938045632860303,0.024279084974289322
