ISO3,Time,ecnm,decnm,yng,old,dyng,dold
ESP,2002,0.8448977680782392,0.01567575173588731,0.1448993658325462,0.17109184938420133,-0.00033735700359063814,-0.0006330102703180629
ESP,2003,0.8605735198141266,0.0016888139472952535,0.14456200882895556,0.17045883911388326,0.00016144074471383107,-0.001675468637541061
ESP,2004,0.8622623337614218,-0.015008229665784967,0.1447234495736694,0.1687833704763422,-0.00021749228528594733,-0.002509126860001848
ESP,2005,0.8472541040956368,-0.005168781437142056,0.14450595728838345,0.16627424361634036,0.00036513251278805225,0.0007243640118228256
ESP,2006,0.8420853226584948,0.0027599752668654443,0.1448710898011715,0.16699860762816318,0.0007717571739746798,-0.001201294598674213
ESP,2007,0.8448452979253602,-0.007334515234598715,0.14564284697514618,0.16579731302948897,0.0006215268917625916,-0.0011142870202610067
ESP,2008,0.8375107826907615,0.00925092090936086,0.14626437386690877,0.16468302600922796,0.0015319885258614774,0.0010865704036499835
ESP,2009,0.8467617036001224,-0.024047463639562006,0.14779636239277025,0.16576959641287795,0.0013517786568221501,0.002285268109035371
ESP,2010,0.8227142399605604,-0.01443437283085891,0.1491481410495924,0.16805486452191332,0.001173111515525349,0.0028406336341596505
ESP,2011,0.8082798671297015,-0.019953995768901667,0.15032125256511775,0.17089549815607297,0.000889089039006058,0.002423227305319575
ESP,2012,0.7883258713607998,0.0021073895685391753,0.1512103416041238,0.17331872546139254,0.0005726475230636852,0.003204242522555939
ESP,2013,0.790433260929339,0.008001024647635413,0.1517829891271875,0.17652296798394848,0.00020634845138511881,0.004659759435321237
ESP,2014,0.7984342855769744,-0.006582157740432026,0.1519893375785726,0.18118272741926972,-0.00017835671722718494,0.003512620384043763
ESP,2015,0.7918521278365424,0.014155708379661847,0.15181098086134542,0.18469534780331348,-0.0004979398902939802,0.0023419178953884012
ESP,2016,0.8060078362162042,0.009962843801458066,0.15131304097105144,0.18703726569870188,-0.0007187308383115321,0.0023997111959816186
ESP,2017,0.8159706800176623,0.00938715840965898,0.1505943101327399,0.1894369768946835,-0.001003482045134424,0.0024707248763455036
ESP,2018,0.8253578384273212,-0.0007057766382408959,0.1495908280876055,0.191907701771029,-0.0019291186516226522,0.0020229595001206857
ESP,2019,0.8246520617890803,-0.01834079656658605,0.14766170943598284,0.1939306612711497,-0.0023576594890928892,0.001823384887441687
ESP,2020,0.8063112652224943,-0.0031903160488540028,0.14530404994688995,0.19575404615859138,-0.0026935075699033306,0.0019406923580359003
ESP,2021,0.8031209491736403,-0.015027949233395232,,,,
EST,1950,,,0.2559162098990621,0.10619081849162111,-0.003049599242482104,-0.0012638539618714667
EST,1951,,,0.25286661065658,0.10492696452974964,-0.0029789978131982142,-0.0011773729068434435
EST,1952,,,0.2498876128433818,0.1037495916229062,-0.003060051017112736,-0.0009880974155189182
EST,1953,,,0.24682756182626905,0.10276149420738728,-0.00326899194250474,-0.0008104261962203624
EST,1954,,,0.24355856988376431,0.10195106801116692,-0.0016923694889704743,-0.0007675474634809554
EST,1955,,,0.24186620039479384,0.10118352054768597,-0.00101342708491578,-0.0005855268026511151
EST,1956,,,0.24085277330987806,0.10059799374503485,-0.0011132260907912028,-0.0003739483420990425
EST,1957,,,0.23973954721908686,0.10022404540293581,-0.0006852469839075948,-0.0003084022633891431
EST,1958,,,0.23905430023517926,0.09991564313954666,-0.011590218874155234,0.004298051680176718
EST,1959,,,0.22746408136102403,0.10421369481972338,0.0027885331746377306,0.0007584663645414935
EST,1960,,,0.23025261453566176,0.10497216118426488,0.0030190885162610648,0.0007787110501238231
EST,1961,,,0.23327170305192282,0.1057508722343887,0.00048240083091039,0.0007953547721823578
EST,1962,,,0.23375410388283321,0.10654622700657106,-0.00022723684279973844,5.608950348169606e-5
EST,1963,,,0.23352686704003348,0.10660231651005275,-0.0018231614693908493,0.0012946256538089174
EST,1964,,,0.23170370557064263,0.10789694216386167,-0.002589891847502218,0.0015059272256849054
EST,1965,,,0.2291138137231404,0.10940286938954658,-0.0020507588715472647,0.0018746095249381894
EST,1966,,,0.22706305485159314,0.11127747891448476,-0.0027468018613904244,0.0011678594164868245
EST,1967,,,0.22431625299020272,0.11244533833097159,-0.0019523429800359648,0.002158979679731818
EST,1968,,,0.22236391001016675,0.11460431801070341,-0.0005326826325437461,0.0015218962183617402
EST,1969,,,0.221831227377623,0.11612621422906515,-0.0009893137256230533,0.001143385775655259
EST,1970,,,0.22084191365199995,0.1172696000047204,-0.00040852101856389544,0.0009142381103841302
EST,1971,,,0.22043339263343606,0.11818383811510454,-2.8240201783130692e-5,0.0015101548167344436
EST,1972,,,0.22040515243165293,0.11969399293183898,-0.0004609694551275523,0.0012804374188469247
EST,1973,,,0.21994418297652538,0.1209744303506859,-0.0011068474580479548,0.000902118971186805
EST,1974,,,0.21883733551847742,0.12187654932187271,-0.0016968996541056325,0.0012218934757756011
EST,1975,,,0.2171404358643718,0.12309844279764831,-0.0013941876689309574,0.0008803725162051246
EST,1976,,,0.21574624819544083,0.12397881531385344,-0.0005023686064338229,0.0005126829394404564
EST,1977,,,0.215243879589007,0.12449149825329389,-0.00019283162105124263,0.0009295434046279472
EST,1978,,,0.21505104796795577,0.12542104165792184,0.0005055394431036919,-3.2843960477008105e-5
EST,1979,,,0.21555658741105946,0.12538819769744483,0.00040619497493887824,0.00026809747430031616
EST,1980,,,0.21596278238599834,0.12565629517174515,0.0010784331847032702,-0.0013823529052770789
EST,1981,,,0.2170412155707016,0.12427394226646807,0.0013626995620593385,-0.002415166698206267
EST,1982,,,0.21840391513276095,0.1218587755682618,0.0015116232235697358,-0.0029959417574765695
EST,1983,,,0.21991553835633068,0.11886283381078523,0.0009664543099437706,-0.0012393261829032887
EST,1984,,,0.22088199266627445,0.11762350762788194,0.00028466644030750166,-0.0021783862819502453
EST,1985,,,0.22116665910658195,0.1154451213459317,-9.941689041531587e-6,-0.0018636595613331364
EST,1986,,,0.22115671741754042,0.11358146178459856,0.0001851229344508598,-0.00017674508557435908
EST,1987,,,0.22134184035199128,0.1134047166990242,0.0004666244133361974,0.00019101294644732758
EST,1988,,,0.22180846476532748,0.11359572964547153,0.0009021696452667094,0.0006767519725278393
EST,1989,,,0.2227106344105942,0.11427248161799937,0.00021282989365131733,0.0013857737514047924
EST,1990,,,0.2229234643042455,0.11565825536940416,-0.0007361181027217278,0.001340960875152994
EST,1991,,,0.22218734620152378,0.11699921624455716,-0.0022222171591166906,0.002712870880293275
EST,1992,,,0.2199651290424071,0.11971208712485043,-0.003738725366985135,0.005032675241018303
EST,1993,,,0.21622640367542195,0.12474476236586873,-0.003814927768954729,0.004507971024381552
EST,1994,,,0.21241147590646722,0.12925273339025029,-0.0034146309550577014,0.003775463788322747
EST,1995,0.5385646814872342,0.011978797033428967,0.20899684495140952,0.13302819717857303,-0.004008679455486636,0.004200068399480977
EST,1996,0.5505434785206632,0.04267403561465788,0.20498816549592289,0.137228265578054,-0.004783472272880923,0.003969400077998231
EST,1997,0.5932175141353211,0.005527071029381103,0.20020469322304196,0.14119766565605224,-0.005167081721088068,0.003882834606928287
EST,1998,0.5987445851647022,0.018601290738426757,0.1950376115019539,0.14508050026298053,-0.0059681739138392476,0.001960623963281616
EST,1999,0.617345875903129,-0.010161556241601089,0.18906943758811465,0.14704112422626214,-0.010383078652404981,0.001463078366020415
EST,2000,0.6071843196615279,0.01831702263871593,0.17868635893570967,0.14850420259228256,-0.004697385839459001,0.002664048886612258
EST,2001,0.6255013423002438,0.02437472710717381,0.17398897309625067,0.15116825147889482,-0.004881089953691964,0.003166555282731437
EST,2002,0.6498760694074176,0.03092392058756943,0.1691078831425587,0.15433480676162625,-0.005235831596654278,0.003996496394178706
EST,2003,0.680799989994987,0.013237307253874064,0.16387205154590442,0.15833130315580496,-0.0054133372388594225,0.003570447347036404
EST,2004,0.6940372972488611,0.00038592926141856054,0.158458714307045,0.16190175050284136,-0.00466968415009647,0.0036740650595424307
EST,2005,0.6944232265102797,0.01509617709161215,0.15378903015694853,0.1655758155623838,-0.0034305595820406376,0.0030382586372861564
EST,2006,0.7095194036018918,0.02819357272740819,0.1503584705749079,0.16861407419966995,-0.0015261624472363566,0.004136555073054521
EST,2007,0.7377129763293,-0.00768712482080236,0.14883230812767154,0.17275062927272447,-0.0005690634397061134,0.0017273951891232098
EST,2008,0.7300258515084976,-0.014241902682881391,0.14826324468796542,0.17447802446184768,0.0012359291491363666,-0.0002441249055873118
EST,2009,0.7157839488256162,-0.015695413989460172,0.1494991738371018,0.17423389955626037,0.0017191311103636753,0.00015507307781309487
EST,2010,0.7000885348361561,0.010141580358756896,0.15121830494746547,0.17438897263407346,0.002277325514457168,7.592816763529742e-5
EST,2011,0.710230115194913,-0.002252790415467998,0.15349563046192263,0.17446490080170876,0.0016630703510878697,0.002536573694932459
EST,2012,0.707977324779445,0.012733619391481543,0.1551587008130105,0.17700147449664122,0.0015109907257808697,0.003275854263529915
EST,2013,0.7207109441709265,0.014366769274131164,0.15666969153879137,0.18027732876017113,0.0014390440792408365,0.0034326204189194798
EST,2014,0.7350777134450577,-0.01238146550254371,0.1581087356180322,0.18370994917909061,0.0015015457058538406,0.0038316935331016155
EST,2015,0.722696247942514,0.019468105059680774,0.15961028132388605,0.18754164271219223,0.0010703269775717283,0.0027037720035725243
EST,2016,0.7421643530021947,0.018578233778795528,0.16068060830145778,0.19024541471576475,0.0016777565781243842,0.003221946791706426
EST,2017,0.7607425867809903,0.018713139370214016,0.16235836487958216,0.19346736150747118,0.0007988756047943579,0.0024495765143947856
EST,2018,0.7794557261512043,0.006042278257388789,0.16315724048437652,0.19591693802186597,0.0009601006900164522,0.0017644047193301204
EST,2019,0.7854980044085931,-0.001619787272698292,0.16411734117439297,0.1976813427411961,0.0004559069073715727,0.00267740003391409
EST,2020,0.7838782171358948,0.0050317549942326956,0.16457324808176454,0.20035874277511018,0.00016932261673044402,0.0029053521803794335
EST,2021,0.7889099721301275,-0.009011689662221878,,,,
ETH,1950,,,0.4394498955994787,0.030101546098217843,-0.0007608502496684322,-4.663086170298564e-5
ETH,1951,,,0.4386890453498103,0.030054915236514858,-0.0008465790068653556,-7.98252578542262e-5
ETH,1952,,,0.43784246634294494,0.02997508997866063,-0.0009406726474296967,-0.00011085105918614419
ETH,1953,,,0.43690179369551524,0.029864238919474487,-0.0008140377275120958,-0.00011081684532823419
ETH,1954,,,0.43608775596800314,0.029753422074146253,-0.0007828349469762297,-0.0001290040375000398
ETH,1955,,,0.4353049210210269,0.029624418036646213,-0.0007408534768434949,-0.00014686986421142897
ETH,1956,,,0.4345640675441834,0.029477548172434784,-0.0007394660983879309,-0.0001387540688318617
ETH,1957,,,0.4338246014457955,0.029338794103602923,-0.0026354795172526813,-0.0003866921232322691
ETH,1958,,,0.4311891219285428,0.028952101980370654,-0.0023093115660474117,-0.00036256166502543485
ETH,1959,,,0.4288798103624954,0.02858954031534522,-0.0007501825306782672,-0.00016526779508314882
