행정구역,성별,연령별,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,56세,46986,45555,45967,52278,55713,54300.5,53433.5,49511,55511.5,61424,61479,69002,71096.5,71867.5,74114.5,75315,78393.5,78040.5,75520.5,71387,69056,69226
서울특별시,남자,57세,52722,45844.5,44262,44804.5,51147,54698,53451,52586,48724.5,54671,60379.5,60284.5,67694,69833,70674.5,72749,73636.5,76660.5,76434.5,74091.5,70231,67819.5
서울특별시,남자,58세,52686.5,51333.5,44439,43042.5,43773.5,50132.5,53727.5,52509.5,51613,47862,53626,59125,59090.5,66461.5,68638,69275,71170.5,72101,75092.5,74996,72908,68984
서울특별시,남자,59세,43707.5,51211.5,49739,43175.5,41990,42870,49231.5,52736,51493.5,50715.5,47018.5,52510.5,57829,57875,65255.5,67218.5,67629.5,69603.5,70589,73621,73689.5,71610
서울특별시,남자,60세,40384,42337,49441,48143,42029,41057.5,42008,48248.5,51697,50542.5,49712,45917.5,51305,56600,56753,63851,65523,66004,68001.5,69145.5,72333,72163.5
서울특별시,남자,61세,37910.5,39106,40884,47854.5,46859,41141,40191.5,41087.5,47201.5,50652,49439.5,48501.5,44825,50193,55448,55399.5,62148.5,63830.5,64351.5,66489,67851,70816
서울특별시,남자,62세,33885.5,36621.5,37656.5,39399.5,46471.5,45750,40247.5,39340,40177,46172,49538,48293,47388.5,43812.5,49053,54131,53978,60582,62269,62930,65221.5,66432.5
서울특별시,남자,63세,30932,32754,35219,36246,38225,45290,44674,39359,38414,39332,45162,48368,47127,46190.5,42789.5,47827.5,52670.5,52613.5,59141,60974,61772.5,63848.5
서울특별시,남자,64세,28487.5,29781,31337.5,33919.5,35163.5,37190.5,44151.5,43591.5,38373.5,37474,38399,44034,47210.5,46063,45220.5,41818,46526,51232,51268.5,57900,59819,60434
서울특별시,남자,65세,25215,27433,28494,30118,32890,34269,36277.5,43084.5,42554,37513.5,36635,37461,43032,46227.5,45119,44149,40708,45434.5,50152.5,50309.5,56849.5,58539
서울특별시,남자,66세,21454.5,24220.5,26225.5,27384,29163,31961.5,33325.5,35279.5,41893.5,41514,36639.5,35680.5,36525,42051,45257,44002.5,42917,39683.5,44285,49003,49336,55669.5
서울특별시,남자,67세,19006.5,20591.5,23147.5,25134,26443.5,28279.5,31024.5,32389,34306,40815,40463,35650.5,34726.5,35622,41085,44076,42683.5,41698.5,38635,43260,47955.5,48173
서울특별시,남자,68세,16350.5,18185,19654.5,22147,24227,25636.5,27447.5,30062,31371,33404,39766.5,39292.5,34612,33776.5,34736,39941.5,42717.5,41438.5,40552.5,37643.5,42270,46855.5
서울특별시,남자,69세,14088.5,15620,17259,18691,21251.5,23384,24752.5,26550,29090.5,30397.5,32363.5,38471,38066.5,33620,32908,33744,38645.5,41412,40267.5,39512.5,36814,41270
서울특별시,남자,70세,13304.5,13414,14814.5,16448,17998.5,20497.5,22480.5,23814,25616.5,28155,29433,31285.5,37273.5,36965,32702.5,31922,32603,37422.5,40163.5,39191.5,38538.5,35837
서울특별시,남자,71세,12346.5,12668,12673.5,14057.5,15767,17325.5,19753,21637,22890.5,24706.5,27202,28393,30266.5,36153.5,35889.5,31680.5,30818.5,31521.5,36250,39027,38197,37497.5
서울특별시,남자,72세,10712.5,11654.5,11961,12045.5,13450.5,15085,16615,19005,20771,22035.5,23842,26198.5,27406.5,29310,34966.5,34605,30549.5,29801.5,30509.5,35213,37982,37121.5
서울특별시,남자,73세,8997.5,10078.5,10955,11324.5,11494.5,12867.5,14421.5,15909.5,18270,20004,21194.5,22891.5,25236,26463,28316,33666.5,33274.5,29452,28769,29582.5,34250.5,36877.5
서울특별시,남자,74세,7707.5,8502,9450,10278,10764,10980,12278,13743.5,15182.5,17525,19178,20307.5,21980,24251.5,25451.5,27239,32343,31978,28375.5,27790,28648,33145
서울특별시,남자,75세,7317.5,7223.5,7914.5,8832,9733,10230,10422.5,11671.5,13124,14515,16738,18295.5,19360,21015.5,23260,24414.5,26100.5,31024.5,30738.5,27412.5,26874.5,27675.5
서울특별시,남자,76세,7467,6856,6758.5,7404,8338.5,9218,9709,9898.5,11056,12473.5,13824.5,15933,17454.5,18501,20093.5,22233,23312.5,24967,29717.5,29509.5,26369,25867
